Name	sample1	sample2	sample3	sample4	sample5	sample6
K00164	12	12	7	14	3	10
K00166	0	0	0	0	1	2
K00167	1	2	0	2	1	3
K00171	0	0	0	0	1	0
K00174	0	3	1	2	1	0
K00175	2	2	0	2	0	0
K00179	0	1	0	0	0	1
K00180	0	1	0	0	0	0
K00182	0	1	0	0	1	0
K00183	3	3	0	1	2	2
K00184	5	4	1	4	2	4
K00185	4	2	2	6	5	1
K00194	0	0	0	1	0	0
K00198	0	0	0	1	0	0
K00206	0	1	0	2	0	0
K00207	2	0	0	0	2	1
K00208	7	7	3	8	2	5
K00210	4	0	1	3	1	3
K00215	2	2	0	2	2	3
K00218	2	2	0	0	1	0
K00219	4	3	1	7	5	1
K00220	1	0	1	2	0	2
K00222	0	1	0	0	0	0
K00226	6	4	2	1	5	2
K00227	1	0	0	0	0	0
K00228	5	3	2	2	2	4
K00231	0	0	0	1	0	0
K00232	1	1	0	1	0	3
K00234	1	4	3	2	0	2
K00235	2	3	0	1	0	3
K00239	3	9	7	7	2	10
K00240	3	8	1	3	2	7
K00241	2	1	1	1	0	2
K00243	2	0	0	1	0	1
K00244	1	1	1	0	1	2
K00245	0	2	0	0	0	1
K00246	0	0	0	0	1	1
K00248	16	7	6	11	6	20
K00249	29	15	14	16	5	26
K00252	2	3	2	4	2	3
K00253	4	7	1	9	0	3
K00254	2	0	0	0	0	0
K00255	2	2	3	1	0	1
K00256	0	1	0	1	1	1
K00257	29	17	14	24	9	34
K00258	1	0	1	0	1	1
K00259	3	6	3	9	1	4
K00260	3	3	0	4	0	1
K00261	7	3	1	8	4	5
K00262	5	3	2	5	2	2
K00263	1	0	2	1	0	4
K00264	12	8	1	4	3	6
K00265	22	13	1	15	9	12
K00266	8	6	1	4	2	6
K00270	0	0	1	0	0	1
K00271	0	0	1	0	0	1
K00272	0	0	0	1	0	0
K00273	1	0	0	2	0	0
K00274	0	1	1	0	2	0
K00275	1	2	0	3	1	1
K00277	0	0	0	0	0	1
K00278	5	2	1	2	1	2
K00280	0	0	0	0	1	0
K00281	12	13	6	5	6	13
K00282	0	0	1	1	0	0
K00283	3	1	0	0	1	0
K00284	19	9	2	16	7	11
K00285	1	1	1	7	0	0
K00286	2	1	1	1	5	0
K00287	1	1	1	4	0	0
K00288	2	2	1	2	1	1
K00289	0	1	0	0	0	2
K00290	4	1	0	2	1	1
K00291	0	0	0	1	0	0
K00292	1	4	0	0	2	0
K00293	0	0	0	0	1	0
K00294	2	2	2	3	1	0
K00297	3	8	2	3	3	6
K00300	0	0	1	0	0	0
K00302	6	7	2	2	2	4
K00303	6	3	1	7	1	2
K00304	2	1	0	0	0	2
K00305	0	0	1	0	0	0
K00311	3	0	1	6	1	5
K00314	4	3	4	4	8	8
K00315	8	15	7	16	12	10
K00316	2	0	0	0	0	0
K00317	1	1	0	1	0	0
K00318	0	0	1	0	1	1
K00320	1	0	0	1	1	0
K00321	0	0	0	1	0	0
K00322	1	0	1	2	1	0
K00323	1	1	4	1	2	1
K00324	2	2	2	3	4	5
K00325	2	4	3	2	1	2
K00326	0	0	2	0	0	0
K00327	0	0	0	0	1	0
K00329	0	0	0	0	0	1
K00330	0	0	0	5	0	2
K00331	2	2	2	2	0	0
K00332	5	0	2	0	0	1
K00333	10	2	3	8	5	6
K00334	1	0	1	3	1	1
K00335	10	5	2	10	4	4
K00336	10	5	2	2	2	0
K00337	7	4	6	3	6	6
K00338	1	1	0	1	0	3
K00339	3	1	0	1	2	0
K00340	0	1	0	1	1	2
K00341	5	4	4	7	7	6
K00342	4	1	2	7	2	6
K00343	4	3	0	1	0	0
K00344	3	6	4	4	2	5
K00346	3	1	0	4	1	0
K00347	4	1	3	4	2	1
K00348	0	4	0	1	1	1
K00349	2	1	1	5	1	1
K00350	1	1	1	0	1	3
K00351	6	3	1	2	3	1
K00354	3	1	1	0	0	0
K00356	1	2	0	3	0	4
K00357	0	0	0	0	1	0
K00358	0	0	1	1	0	1
K00359	0	0	0	1	0	0
K00360	0	0	0	0	1	0
K00362	1	3	1	2	1	3
K00363	1	1	0	1	0	0
K00364	3	2	0	1	0	0
K00365	2	1	0	2	3	2
K00366	3	0	0	2	1	1
K00367	0	2	0	0	0	1
K00369	2	0	1	1	0	0
K00370	0	0	0	0	1	1
K00372	2	1	1	1	2	3
K00374	0	0	0	0	1	0
K00375	1	0	0	3	1	0
K00376	2	0	1	3	1	0
K00378	0	0	0	0	1	0
K00380	0	1	0	2	0	1
K00381	3	2	1	1	3	5
K00382	7	17	5	13	5	15
K00383	2	1	1	2	1	0
K00384	8	7	3	12	6	11
K00386	0	0	1	4	0	1
K00387	0	0	0	2	0	1
K00390	1	0	0	1	0	2
K00392	2	0	2	1	1	3
K00394	0	1	0	1	0	0
K00395	0	1	0	1	0	0
K00397	1	0	0	0	0	0
K00404	5	4	1	4	1	2
K00405	9	9	2	2	1	3
K00406	1	1	1	5	0	3
K00407	0	0	1	0	0	0
K00411	0	0	0	2	3	2
K00412	9	8	2	7	3	5
K00413	4	3	2	6	2	2
K00423	2	1	0	0	0	1
K00425	3	1	0	8	0	0
K00426	0	2	1	2	0	0
K00428	1	2	1	5	2	3
K00430	0	0	0	1	0	0
K00431	0	1	0	0	0	0
K00432	1	2	1	1	0	2
K00433	0	0	0	1	0	0
K00434	1	1	0	1	0	0
K00435	4	2	0	3	2	2
K00436	0	0	0	0	0	1
K00441	0	3	0	0	0	1
K00444	0	1	0	0	0	0
K00446	1	0	0	0	1	0
K00448	0	1	0	0	0	0
K00449	1	1	0	0	0	1
K00451	3	3	0	7	1	1
K00452	1	0	0	0	0	0
K00453	4	1	1	2	1	2
K00456	0	1	0	0	0	0
K00457	7	0	1	4	0	4
K00459	4	1	0	2	1	2
K00464	0	0	1	0	0	0
K00466	0	1	0	0	0	0
K00469	0	0	0	1	0	0
K00470	0	1	0	0	3	0
K00472	0	0	0	1	0	0
K00473	0	0	1	1	0	0
K00478	0	0	0	0	0	1
K00480	0	0	1	2	0	0
K00481	0	0	0	4	1	3
K00485	2	4	1	3	0	0
K00486	1	1	0	1	0	1
K00490	0	0	1	0	0	0
K00492	1	1	0	3	1	2
K00493	1	0	0	1	1	1
K00494	0	0	1	1	1	1
K00495	0	0	0	1	0	0
K00496	2	0	0	2	0	3
K00500	2	2	0	0	0	0
K00501	0	1	0	0	0	0
K00502	0	1	0	0	0	0
K00507	2	1	1	4	0	2
K00508	0	0	0	1	0	1
K00510	0	0	0	1	1	1
K00514	1	1	1	0	1	0
K00517	6	3	0	10	1	4
K00518	1	0	0	2	1	0
K00520	4	0	1	0	2	2
K00524	1	0	0	0	0	0
K00525	13	20	5	14	10	14
K00526	6	4	1	4	2	4
K00527	0	0	0	1	0	0
K00528	2	1	0	3	0	1
K00529	0	1	0	2	0	3
K00535	1	0	0	1	0	1
K00537	2	1	0	0	0	1
K00540	24	18	9	20	7	24
K00547	0	0	1	0	2	1
K00548	13	9	18	15	8	13
K00549	1	0	1	0	1	2
K00551	1	0	0	0	0	0
K00554	2	1	0	5	1	2
K00555	0	1	0	0	0	0
K00556	4	0	0	0	0	0
K00557	0	0	1	1	0	0
K00558	2	6	1	0	1	5
K00559	0	0	0	0	1	0
K00560	1	1	1	7	2	2
K00566	7	0	1	7	0	2
K00567	1	2	0	2	0	3
K00568	1	1	1	1	0	0
K00569	2	1	0	0	0	0
K00571	5	1	0	1	0	3
K00572	0	1	0	0	0	0
K00573	8	3	1	6	1	3
K00574	2	2	0	1	3	0
K00575	3	1	0	3	0	0
K00587	1	0	0	3	0	0
K00588	0	0	0	1	0	0
K00589	0	0	0	1	0	0
K00590	1	0	0	0	0	1
K00591	0	0	0	1	0	0
K00595	0	0	0	1	1	4
K00597	0	0	0	0	1	0
K00599	8	7	3	6	5	3
K00600	8	10	0	11	2	8
K00602	8	3	4	7	5	7
K00604	1	1	1	4	1	2
K00605	5	12	4	5	8	7
K00606	3	2	4	2	1	5
K00609	2	4	0	4	0	2
K00611	1	1	0	4	0	3
K00612	4	0	3	1	0	4
K00613	0	0	0	1	0	2
K00615	14	12	2	4	5	8
K00616	4	3	5	3	2	1
K00619	1	0	0	0	0	1
K00620	4	4	0	4	2	0
K00624	0	0	0	1	1	0
K00625	3	0	1	0	0	0
K00626	22	13	7	18	10	11
K00627	8	6	0	6	6	2
K00631	2	0	0	1	1	0
K00632	19	8	3	10	8	7
K00633	0	1	0	0	1	0
K00634	1	0	0	0	0	0
K00638	1	1	0	1	1	0
K00639	8	2	3	2	3	4
K00640	3	6	1	4	2	3
K00641	2	2	0	1	1	1
K00643	2	2	2	1	2	2
K00645	5	6	1	4	3	5
K00647	4	1	2	0	2	2
K00648	11	6	4	9	3	6
K00649	1	0	0	0	0	0
K00651	1	1	1	0	1	1
K00652	3	1	2	1	0	1
K00653	0	0	0	1	0	0
K00654	0	2	1	0	0	0
K00655	1	2	0	2	1	1
K00656	0	0	1	0	0	1
K00657	0	0	0	1	0	0
K00658	8	6	3	9	3	7
K00660	0	1	0	1	0	1
K00661	0	2	0	1	1	0
K00665	0	4	0	0	0	0
K00666	9	7	2	7	1	8
K00670	2	1	0	1	0	0
K00671	1	0	0	1	0	1
K00673	2	0	0	0	0	0
K00674	4	0	2	1	1	7
K00677	2	3	0	2	1	3
K00679	0	0	1	1	0	0
K00680	6	6	1	7	3	3
K00681	6	6	5	7	6	8
K00683	1	0	1	0	0	1
K00684	2	2	1	1	1	0
K00685	1	0	0	0	1	1
K00688	6	5	2	8	1	6
K00690	3	1	1	1	1	1
K00691	1	0	0	0	0	0
K00693	2	0	0	0	0	1
K00694	0	0	1	2	0	0
K00697	2	0	1	1	1	0
K00698	1	0	2	4	1	0
K00700	7	2	2	4	0	3
K00702	0	0	0	0	1	1
K00703	5	5	2	6	1	5
K00705	1	1	0	2	2	1
K00710	0	0	2	1	1	0
K00718	0	0	0	1	0	0
K00721	0	0	0	7	1	1
K00726	0	0	0	1	0	0
K00728	0	0	1	0	0	0
K00731	1	0	1	0	0	0
K00742	0	0	0	0	1	0
K00748	1	6	3	2	0	5
K00749	1	0	1	1	1	0
K00750	0	1	0	0	0	0
K00753	0	0	0	1	0	1
K00754	2	4	0	5	4	4
K00756	1	2	1	1	0	2
K00757	0	3	1	1	0	0
K00758	0	2	1	3	1	2
K00759	1	3	1	3	2	4
K00760	0	1	1	1	0	0
K00761	1	2	3	4	2	2
K00762	2	8	1	7	0	2
K00763	2	3	0	4	3	5
K00764	7	3	1	6	1	13
K00765	3	4	1	2	0	1
K00766	1	2	3	5	0	6
K00767	1	0	0	3	2	4
K00768	1	0	0	1	1	0
K00769	0	1	1	1	0	0
K00771	1	1	0	0	0	0
K00772	0	1	0	4	1	2
K00773	3	4	2	7	3	7
K00777	1	0	0	1	0	2
K00783	1	3	2	0	0	1
K00784	2	1	1	1	0	4
K00786	5	0	0	0	1	2
K00787	0	0	0	1	0	0
K00788	1	2	2	0	1	1
K00789	6	10	4	7	6	3
K00790	6	6	1	8	7	6
K00791	3	2	4	3	1	4
K00793	4	1	2	1	1	8
K00794	1	3	1	4	0	6
K00795	2	0	0	1	0	2
K00796	3	1	1	3	0	3
K00797	3	1	2	2	1	0
K00798	1	1	2	2	0	1
K00799	5	5	6	3	4	4
K00800	5	5	0	7	3	6
K00801	1	2	0	1	0	1
K00803	0	2	0	1	0	2
K00804	0	0	0	1	0	0
K00806	3	4	2	3	2	0
K00808	0	1	0	1	0	0
K00809	0	1	1	6	2	0
K00810	0	0	1	0	0	0
K00811	3	1	1	0	3	0
K00812	2	2	1	6	2	2
K00813	0	1	1	1	1	2
K00814	0	0	1	2	0	0
K00816	2	0	0	1	1	2
K00817	3	4	2	3	4	2
K00818	4	2	0	4	1	4
K00819	3	0	2	2	1	3
K00820	9	3	5	13	3	9
K00821	4	2	0	2	0	2
K00822	1	1	1	1	0	0
K00823	4	0	0	0	0	2
K00824	2	0	0	0	0	2
K00826	5	11	4	10	4	10
K00827	1	0	0	1	0	0
K00830	3	1	1	2	1	4
K00831	9	4	1	5	0	2
K00832	1	4	0	1	1	0
K00833	2	2	0	3	0	1
K00836	1	0	0	0	0	1
K00837	6	6	5	6	1	6
K00839	2	0	0	0	1	0
K00840	0	0	0	0	0	1
K00844	0	0	0	1	0	0
K00845	1	0	0	2	0	1
K00847	0	2	1	1	0	2
K00849	2	2	0	0	1	0
K00850	7	5	0	5	1	1
K00851	0	1	0	1	0	0
K00852	2	1	0	2	0	0
K00853	0	1	0	1	0	1
K00854	1	3	1	2	0	1
K00855	1	1	0	0	0	1
K00857	5	1	1	2	0	2
K00858	0	3	1	4	2	3
K00859	0	4	0	3	1	1
K00860	4	3	0	5	0	3
K00861	0	0	1	0	1	0
K00863	1	1	0	2	0	2
K00864	1	3	3	4	2	7
K00867	0	0	0	0	0	1
K00868	2	0	0	0	0	0
K00869	1	0	0	1	0	0
K00870	3	0	3	3	0	1
K00871	0	0	0	1	0	1
K00872	2	0	2	3	1	0
K00873	8	3	2	11	5	3
K00874	2	1	1	2	0	2
K00876	0	0	1	0	0	0
K00878	1	0	0	0	0	0
K00882	0	0	0	0	0	1
K00883	1	1	0	0	1	1
K00884	0	0	1	0	0	0
K00886	0	0	0	0	0	1
K00888	1	0	1	0	0	0
K00889	1	1	0	2	0	0
K00891	1	1	1	0	1	1
K00894	0	0	0	0	0	1
K00895	1	0	0	2	0	2
K00898	1	0	0	1	0	0
K00900	0	0	0	0	0	1
K00901	1	1	1	4	0	1
K00903	2	2	2	3	2	2
K00905	0	0	0	1	0	0
K00907	1	1	0	0	0	0
K00908	2	2	3	6	1	2
K00909	0	0	0	1	0	0
K00910	0	0	0	1	0	0
K00912	0	2	0	3	1	1
K00914	0	2	0	1	0	1
K00916	0	1	0	0	0	0
K00919	0	1	0	0	0	1
K00920	0	1	0	0	0	0
K00922	0	1	0	1	0	0
K00923	1	0	0	0	0	0
K00924	7	1	4	9	6	3
K00925	0	1	3	2	0	1
K00926	0	0	0	1	0	0
K00927	2	5	3	9	2	5
K00928	4	3	0	5	1	2
K00930	3	3	2	3	1	2
K00931	2	1	0	1	1	2
K00932	0	0	1	0	0	0
K00933	2	0	0	0	0	0
K00934	2	1	0	0	0	0
K00936	19	8	7	20	12	20
K00937	9	6	4	8	6	4
K00939	1	1	1	3	3	4
K00940	2	1	3	3	3	3
K00942	1	2	1	3	1	3
K00943	3	0	1	1	1	3
K00944	0	0	0	0	1	0
K00945	2	1	1	4	4	2
K00946	2	2	0	2	1	1
K00947	0	0	0	3	0	0
K00948	2	7	2	7	1	6
K00950	0	1	0	0	0	0
K00951	16	3	5	4	5	7
K00953	0	0	1	2	1	0
K00954	1	1	1	1	1	1
K00955	7	4	2	10	2	6
K00956	3	2	3	7	1	2
K00957	2	3	1	3	2	4
K00958	2	2	1	6	2	0
K00962	7	7	3	11	1	13
K00963	2	1	2	5	1	2
K00965	0	2	2	2	0	2
K00966	2	2	0	1	0	1
K00967	0	1	0	1	1	0
K00969	2	0	1	1	1	3
K00970	3	1	3	3	3	2
K00971	4	5	0	4	0	3
K00972	0	0	0	1	0	0
K00973	5	6	1	9	5	5
K00974	1	3	2	2	2	3
K00975	4	4	2	3	1	2
K00976	0	0	1	0	0	0
K00978	0	2	0	1	0	1
K00979	1	0	0	2	2	2
K00980	1	0	0	0	1	0
K00981	1	1	1	5	0	0
K00982	2	3	1	0	0	0
K00983	2	2	0	2	1	0
K00986	3	3	4	9	2	3
K00988	0	0	0	1	0	0
K00989	3	1	0	1	1	3
K00990	4	6	2	5	2	1
K00991	0	1	0	0	1	1
K00992	0	1	0	0	0	2
K00993	0	0	0	2	0	0
K00995	2	3	1	3	0	2
K00996	0	2	1	1	0	0
K00997	0	0	0	1	2	0
K00998	1	0	0	0	0	0
K01000	4	7	1	9	2	6
K01003	1	1	0	1	0	0
K01004	0	0	1	1	0	0
K01005	0	1	0	2	0	1
K01006	2	6	5	7	4	6
K01007	2	4	1	5	2	1
K01008	0	0	0	1	1	2
K01011	3	0	1	2	4	1
K01012	1	1	1	4	0	4
K01013	0	1	1	1	0	2
K01021	0	0	0	0	2	1
K01022	0	0	0	0	1	0
K01025	1	0	0	0	0	0
K01026	1	0	0	0	0	2
K01027	3	2	1	3	3	3
K01028	2	2	0	2	3	4
K01029	1	0	1	3	0	0
K01031	0	1	0	0	0	0
K01032	1	0	1	2	0	0
K01035	0	0	1	2	0	0
K01039	0	0	0	0	0	1
K01040	0	0	0	0	0	1
K01041	3	0	1	3	2	3
K01042	0	0	0	1	0	0
K01043	2	2	1	1	2	2
K01044	1	2	1	1	1	0
K01046	0	0	0	0	1	0
K01047	0	0	1	0	0	0
K01048	0	0	0	1	1	1
K01049	0	2	1	1	1	0
K01050	0	2	0	0	1	0
K01051	1	0	0	0	0	0
K01053	2	1	2	2	1	1
K01055	0	2	1	1	0	2
K01056	2	2	0	2	0	1
K01057	0	0	1	0	0	1
K01060	0	0	0	1	0	0
K01061	3	4	3	2	0	1
K01062	1	0	0	0	0	0
K01066	2	3	0	2	0	1
K01067	0	2	1	1	3	2
K01069	10	8	5	4	1	4
K01070	3	1	0	3	0	1
K01074	1	1	0	2	0	0
K01075	0	0	0	0	0	1
K01076	3	1	3	2	0	1
K01077	2	3	2	2	0	1
K01079	0	2	0	0	3	2
K01081	3	6	1	5	1	1
K01082	1	0	0	0	0	0
K01083	1	0	2	0	0	0
K01087	0	0	1	1	0	0
K01089	6	2	0	0	1	2
K01090	8	5	8	10	3	5
K01091	3	1	0	1	0	1
K01092	5	4	3	4	1	3
K01095	0	0	1	0	0	1
K01099	0	1	1	0	0	0
K01100	0	0	0	1	0	0
K01103	1	0	0	0	0	1
K01104	5	6	1	2	2	3
K01106	0	1	0	1	0	0
K01112	2	2	1	2	1	0
K01113	1	1	1	3	0	1
K01116	1	0	0	1	0	0
K01118	0	0	1	0	1	0
K01119	0	0	0	2	0	2
K01120	0	3	0	2	1	0
K01126	3	0	0	4	0	1
K01128	2	0	0	0	0	0
K01129	5	1	1	6	0	1
K01130	11	14	5	16	4	9
K01131	1	4	0	1	1	0
K01132	0	1	0	1	0	0
K01133	1	3	0	1	0	2
K01134	3	5	1	6	3	1
K01135	2	1	1	2	0	0
K01136	3	0	1	3	0	2
K01137	1	0	2	1	0	2
K01138	6	5	3	3	2	3
K01139	8	1	2	2	2	5
K01141	1	0	0	1	0	1
K01142	3	4	2	6	1	4
K01144	2	3	1	5	0	1
K01146	0	0	0	0	0	1
K01147	1	2	0	0	0	1
K01151	0	0	0	0	1	0
K01153	9	13	5	11	6	14
K01154	6	2	1	4	2	0
K01155	1	0	0	1	0	1
K01156	2	3	1	3	2	2
K01157	0	1	1	1	0	0
K01158	0	1	0	0	0	0
K01159	2	1	0	3	0	2
K01168	1	0	0	0	0	1
K01170	0	0	1	0	1	0
K01173	0	0	1	0	0	0
K01175	1	4	2	2	0	4
K01176	3	0	4	1	3	0
K01178	0	1	0	0	0	0
K01179	2	2	2	3	3	2
K01180	0	0	0	0	1	0
K01181	0	0	1	0	1	0
K01182	2	2	0	2	0	1
K01183	0	3	2	6	1	1
K01187	4	5	1	3	1	1
K01188	3	0	0	1	3	0
K01189	0	1	0	0	0	1
K01190	3	4	1	5	1	4
K01191	2	4	1	4	0	3
K01192	0	0	0	1	2	0
K01193	0	2	0	1	1	0
K01194	2	0	2	1	2	1
K01195	0	2	0	0	0	0
K01196	0	1	1	0	1	1
K01198	0	0	0	1	0	0
K01200	1	0	0	0	1	0
K01201	2	3	1	1	0	2
K01204	0	1	0	0	0	0
K01205	0	0	0	1	0	0
K01206	3	3	1	3	2	0
K01207	2	4	1	1	0	0
K01209	0	1	0	1	0	0
K01210	1	0	0	1	0	0
K01212	0	1	0	0	1	0
K01215	0	1	0	1	0	1
K01217	0	0	0	0	1	0
K01225	1	0	0	0	0	0
K01226	0	1	0	1	0	1
K01228	0	0	0	2	0	0
K01230	0	1	2	1	0	0
K01231	2	1	1	2	0	0
K01234	0	1	1	0	0	1
K01238	6	3	4	4	1	3
K01239	1	0	0	0	0	0
K01241	0	0	1	3	1	0
K01246	2	5	2	5	3	0
K01247	0	2	1	1	0	1
K01249	0	0	0	1	0	1
K01251	13	7	2	11	4	6
K01253	2	0	0	0	0	0
K01254	0	2	2	2	1	0
K01255	5	4	0	5	3	2
K01256	3	6	2	5	2	4
K01257	1	0	0	1	0	0
K01258	2	1	1	2	2	0
K01259	4	1	1	3	0	0
K01260	0	2	0	0	0	0
K01261	0	1	0	0	0	0
K01262	4	3	2	12	8	7
K01263	1	0	0	1	0	0
K01265	6	7	0	7	1	2
K01266	0	2	1	1	0	3
K01267	0	1	1	1	0	0
K01268	0	0	0	1	0	0
K01269	4	3	4	6	5	3
K01270	0	1	0	2	0	2
K01271	4	2	1	1	3	4
K01273	4	1	2	3	2	2
K01274	1	0	0	0	0	2
K01275	0	2	0	0	0	0
K01276	0	0	1	0	1	0
K01277	2	0	1	2	0	0
K01278	0	2	2	5	2	1
K01280	0	0	0	0	2	0
K01281	1	1	0	3	0	0
K01283	0	0	1	0	1	1
K01284	5	2	3	2	1	2
K01285	0	0	0	0	1	0
K01286	4	1	0	0	1	0
K01288	0	1	0	0	1	0
K01289	0	1	0	0	0	0
K01293	0	1	0	0	0	0
K01294	0	0	0	1	0	0
K01295	1	0	1	2	0	0
K01297	0	1	0	0	0	0
K01299	0	0	0	2	1	0
K01301	1	4	0	1	0	1
K01303	1	0	0	2	0	0
K01312	1	1	0	0	0	0
K01315	1	0	0	0	0	0
K01316	0	0	0	1	0	0
K01322	3	5	0	3	2	2
K01323	0	1	0	0	0	0
K01324	0	1	0	0	0	0
K01338	8	5	6	11	1	17
K01341	0	0	1	0	1	0
K01343	1	6	1	3	4	4
K01349	0	0	1	0	2	1
K01354	6	1	3	3	1	4
K01356	2	2	0	0	1	3
K01358	5	5	0	12	1	2
K01359	0	0	1	0	2	0
K01360	0	0	0	0	2	0
K01362	9	4	4	10	8	7
K01365	2	2	0	2	0	0
K01366	2	1	0	0	0	0
K01368	0	1	0	0	0	0
K01372	0	0	0	0	1	0
K01373	1	1	0	1	0	0
K01375	0	1	0	0	0	0
K01376	0	1	1	1	1	0
K01379	1	0	0	1	0	0
K01381	1	0	0	0	0	0
K01387	0	0	0	2	1	0
K01389	2	0	0	0	1	0
K01408	0	1	0	0	1	0
K01409	1	7	1	2	2	3
K01411	0	0	0	0	0	1
K01412	3	3	1	3	1	1
K01414	1	1	2	3	2	1
K01415	2	2	1	0	1	0
K01417	9	7	3	4	3	4
K01419	5	0	0	2	0	1
K01420	5	1	1	0	0	1
K01422	2	0	2	3	2	3
K01423	12	7	3	5	2	0
K01424	5	1	3	4	2	2
K01425	0	2	0	2	0	0
K01426	0	7	1	4	0	0
K01427	3	1	2	5	2	2
K01428	4	2	1	5	2	1
K01429	0	0	0	0	0	1
K01430	2	0	3	0	0	1
K01431	1	1	1	2	0	2
K01433	2	2	0	0	0	1
K01434	0	3	2	3	0	2
K01436	1	3	1	5	0	4
K01437	0	1	0	0	0	0
K01438	1	1	2	6	0	2
K01439	1	4	1	1	1	1
K01443	1	3	1	0	0	3
K01444	1	0	1	0	3	1
K01447	0	1	0	0	0	3
K01448	0	0	0	2	0	1
K01451	4	7	0	5	5	6
K01452	2	1	0	2	3	2
K01453	2	1	0	0	1	1
K01454	0	1	0	0	1	0
K01455	6	0	2	2	0	1
K01456	0	0	0	1	1	0
K01457	0	0	0	1	0	2
K01458	3	1	0	1	0	0
K01459	1	1	0	2	0	0
K01461	1	1	0	2	0	0
K01462	0	1	0	4	1	3
K01463	2	4	2	2	6	2
K01464	3	3	2	2	1	3
K01465	8	5	4	10	1	5
K01466	1	0	0	0	1	0
K01467	0	2	1	0	1	1
K01468	1	6	2	4	2	2
K01469	1	1	2	3	2	4
K01470	1	1	0	1	0	1
K01471	0	0	0	1	0	0
K01473	5	6	2	9	4	1
K01474	5	3	0	3	4	3
K01476	1	1	0	0	0	1
K01477	0	0	0	1	0	0
K01479	2	1	0	1	0	0
K01480	2	2	6	7	3	5
K01482	0	0	1	1	0	0
K01483	0	1	0	0	0	2
K01484	0	2	0	0	0	1
K01485	1	2	1	4	2	1
K01486	8	2	0	3	3	2
K01487	2	1	1	5	2	1
K01488	2	3	0	2	3	0
K01489	1	0	1	2	1	1
K01490	0	3	0	0	0	0
K01491	5	4	1	3	3	7
K01492	0	0	0	1	0	0
K01493	0	0	1	0	0	0
